@relation madfhantr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V_predicted

@attribute Loan_ID {LP001002,LP001003,LP001005,LP001006,LP001008,LP001011,LP001013,LP001014,LP001018,LP001020,LP001024,LP001027,LP001028,LP001029,LP001030,LP001032,LP001034,LP001036,LP001038,LP001041,LP001043,LP001046,LP001047,LP001050,LP001052,LP001066,LP001068,LP001073,LP001086,LP001087,LP001091,LP001095,LP001097,LP001098,LP001100,LP001106,LP001109,LP001112,LP001114,LP001116,LP001119,LP001120,LP001123,LP001131,LP001136,LP001137,LP001138,LP001144,LP001146,LP001151,LP001155,LP001157,LP001164,LP001179,LP001186,LP001194,LP001195,LP001197,LP001198,LP001199,LP001205,LP001206,LP001207,LP001213,LP001222,LP001225,LP001228,LP001233,LP001238,LP001241,LP001243,LP001245,LP001248,LP001250,LP001253,LP001255,LP001256,LP001259,LP001263,LP001264,LP001265,LP001266,LP001267,LP001273,LP001275,LP001279,LP001280,LP001282,LP001289,LP001310,LP001316,LP001318,LP001319,LP001322,LP001325,LP001326,LP001327,LP001333,LP001334,LP001343,LP001345,LP001349,LP001350,LP001356,LP001357,LP001367,LP001369,LP001370,LP001379,LP001384,LP001385,LP001387,LP001391,LP001392,LP001398,LP001401,LP001404,LP001405,LP001421,LP001422,LP001426,LP001430,LP001431,LP001432,LP001439,LP001443,LP001448,LP001449,LP001451,LP001465,LP001469,LP001473,LP001478,LP001482,LP001487,LP001488,LP001489,LP001491,LP001492,LP001493,LP001497,LP001498,LP001504,LP001507,LP001508,LP001514,LP001516,LP001518,LP001519,LP001520,LP001528,LP001529,LP001531,LP001532,LP001535,LP001536,LP001541,LP001543,LP001546,LP001552,LP001560,LP001562,LP001565,LP001570,LP001572,LP001574,LP001577,LP001578,LP001579,LP001580,LP001581,LP001585,LP001586,LP001594,LP001603,LP001606,LP001608,LP001610,LP001616,LP001630,LP001633,LP001634,LP001636,LP001637,LP001639,LP001640,LP001641,LP001643,LP001644,LP001647,LP001653,LP001656,LP001657,LP001658,LP001664,LP001665,LP001666,LP001669,LP001671,LP001673,LP001674,LP001677,LP001682,LP001688,LP001691,LP001692,LP001693,LP001698,LP001699,LP001702,LP001708,LP001711,LP001713,LP001715,LP001716,LP001720,LP001722,LP001726,LP001732,LP001734,LP001736,LP001743,LP001744,LP001749,LP001750,LP001751,LP001754,LP001758,LP001760,LP001761,LP001765,LP001768,LP001770,LP001776,LP001778,LP001784,LP001786,LP001788,LP001790,LP001792,LP001798,LP001800,LP001806,LP001807,LP001811,LP001813,LP001814,LP001819,LP001824,LP001825,LP001835,LP001836,LP001841,LP001843,LP001844,LP001846,LP001849,LP001854,LP001859,LP001864,LP001865,LP001868,LP001870,LP001871,LP001872,LP001875,LP001877,LP001882,LP001883,LP001884,LP001888,LP001891,LP001892,LP001894,LP001896,LP001900,LP001903,LP001904,LP001907,LP001908,LP001910,LP001914,LP001915,LP001917,LP001922,LP001924,LP001925,LP001926,LP001931,LP001935,LP001936,LP001938,LP001940,LP001945,LP001947,LP001949,LP001953,LP001954,LP001955,LP001963,LP001964,LP001972,LP001974,LP001977,LP001978,LP001990,LP001993,LP001994,LP001996,LP001998,LP002002,LP002004,LP002006,LP002008,LP002024,LP002031,LP002035,LP002036,LP002043,LP002050,LP002051,LP002053,LP002054,LP002055,LP002065,LP002067,LP002068,LP002082,LP002086,LP002087,LP002097,LP002098,LP002100,LP002101,LP002103,LP002106,LP002110,LP002112,LP002113,LP002114,LP002115,LP002116,LP002119,LP002126,LP002128,LP002129,LP002130,LP002131,LP002137,LP002138,LP002139,LP002140,LP002141,LP002142,LP002143,LP002144,LP002149,LP002151,LP002158,LP002160,LP002161,LP002170,LP002175,LP002178,LP002180,LP002181,LP002187,LP002188,LP002190,LP002191,LP002194,LP002197,LP002201,LP002205,LP002209,LP002211,LP002219,LP002223,LP002224,LP002225,LP002226,LP002229,LP002231,LP002234,LP002236,LP002237,LP002239,LP002243,LP002244,LP002250,LP002255,LP002262,LP002263,LP002265,LP002266,LP002272,LP002277,LP002281,LP002284,LP002287,LP002288,LP002296,LP002297,LP002300,LP002301,LP002305,LP002308,LP002314,LP002315,LP002317,LP002318,LP002319,LP002328,LP002332,LP002335,LP002337,LP002341,LP002342,LP002345,LP002347,LP002348,LP002357,LP002361,LP002362,LP002364,LP002366,LP002367,LP002368,LP002369,LP002370,LP002377,LP002379,LP002386,LP002387,LP002390,LP002393,LP002398,LP002401,LP002403,LP002407,LP002408,LP002409,LP002418,LP002422,LP002424,LP002429,LP002434,LP002435,LP002443,LP002444,LP002446,LP002447,LP002448,LP002449,LP002453,LP002455,LP002459,LP002467,LP002472,LP002473,LP002478,LP002484,LP002487,LP002489,LP002493,LP002494,LP002500,LP002501,LP002502,LP002505,LP002515,LP002517,LP002519,LP002522,LP002524,LP002527,LP002529,LP002530,LP002531,LP002533,LP002534,LP002536,LP002537,LP002541,LP002543,LP002544,LP002545,LP002547,LP002555,LP002556,LP002560,LP002562,LP002571,LP002582,LP002585,LP002586,LP002587,LP002588,LP002600,LP002602,LP002603,LP002606,LP002615,LP002618,LP002619,LP002622,LP002624,LP002625,LP002626,LP002634,LP002637,LP002640,LP002643,LP002648,LP002652,LP002659,LP002670,LP002682,LP002683,LP002684,LP002689,LP002690,LP002692,LP002693,LP002697,LP002699,LP002705,LP002706,LP002714,LP002716,LP002717,LP002720,LP002723,LP002729,LP002731,LP002732,LP002734,LP002738,LP002739,LP002740,LP002741,LP002743,LP002753,LP002755,LP002757,LP002767,LP002768,LP002772,LP002776,LP002777,LP002778,LP002784,LP002785,LP002788,LP002789,LP002792,LP002794,LP002795,LP002798,LP002804,LP002807,LP002813,LP002820,LP002821,LP002832,LP002833,LP002836,LP002837,LP002840,LP002841,LP002842,LP002847,LP002855,LP002862,LP002863,LP002868,LP002872,LP002874,LP002877,LP002888,LP002892,LP002893,LP002894,LP002898,LP002911,LP002912,LP002916,LP002917,LP002925,LP002926,LP002928,LP002931,LP002933,LP002936,LP002938,LP002940,LP002941,LP002943,LP002945,LP002948,LP002949,LP002950,LP002953,LP002958,LP002959,LP002960,LP002961,LP002964,LP002974,LP002978,LP002979,LP002983,LP002984,LP002990}
@attribute Gender numeric
@attribute Married numeric
@attribute Dependents numeric
@attribute Education numeric
@attribute Self_Employed numeric
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Credit_History numeric
@attribute Property_Area numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Loan_Status' {Y,N}
@attribute Loan_Status {Y,N}

@data
LP001066,1,1,0,1,1,9560,0,191,360,1,0,0.714286,Y,Y
LP002555,1,1,2,1,1,4583,2083,160,360,1,0,0.714286,Y,Y
LP001041,1,1,0,1,0.140893,2600,3500,115,342,1,0,0.714286,Y,Y
LP001825,1,1,0,1,0,1809,1868,90,360,1,0,0.714286,Y,Y
LP002051,1,1,0,1,0,2400,2167,115,360,1,0,0.714286,Y,Y
LP001369,1,1,2,1,0,11417,1126,225,360,1,0,0.714286,Y,Y
LP001978,1,0,0,1,0,4000,2500,140,360,1,1,0.563636,Y,Y
LP001691,1,1,2,0,0,3917,0,124,360,1,0,0.714286,Y,Y
LP001894,1,1,0,1,0,2620,2223,150,360,1,0,0.714286,Y,Y
LP002379,1,0,0,1,0,6500,0,105,360,0,1,0.869565,N,N
LP001844,1,0,0,1,1,16250,0,192,360,0,0,0.869565,N,N
LP002755,1,1,1,0,0,2239,2524,128,360,1,0,0.714286,Y,Y
LP001877,1,1,2,1,0,4708,1387,150,360,1,0,0.714286,Y,Y
LP001384,1,1,2,0,0,2071,754,94,480,1,0,0.714286,Y,Y
LP001531,1,0,0,1,0,9166,0,244,360,1,0,-0.714286,Y,N
LP002301,0,0,0,1,1,7441,0,194,360,1,1,1,N,N
LP001907,1,1,0,1,0,14583,0,436,360,1,0,0.714286,Y,Y
LP002024,0.813644,1,0,1,0,2473,1843,159,360,1,1,0.5,N,N
LP001404,0,1,0,1,0,3167,2283,154,360,1,0,0.714286,Y,Y
LP002938,1,1,0,1,1,16120,0,260,360,1,0,0.714286,Y,Y
LP001073,1,1,2,0,0,4226,1040,110,360,1,0,0.714286,Y,Y
LP001006,1,1,0,0,0,2583,2358,120,360,1,0,0.714286,Y,Y
LP001813,1,0,0,1,1,6050,4333,120,180,1,0,-0.714286,Y,N
LP001519,0,0,0,1,0,10000,1666,225,360,1,1,-0.428571,Y,N
LP002659,1,1,2,1,0,3466,3428,150,360,1,1,0.563636,Y,Y
LP002690,1,0,0,1,0,2500,0,55,360,1,0,0.714286,Y,Y
LP001405,1,1,1,1,0,2214,1398,85,360,0.842199,0,0.714286,Y,Y
LP002626,1,1,0,1,1,2479,3013,188,360,1,0,0.714286,Y,Y
LP002855,1,1,2,1,0,16666,0,275,360,1,0,0.714286,Y,Y
LP001333,1,1,0,1,0,1977,997,50,360,1,0,0.714286,Y,Y
LP001882,1,1,2,1,0,4333,1811,160,360,0,0,-0.869565,N,Y
LP001238,1,1,2,0,1,7100,0,125,60,1,0,0.714286,Y,Y
LP001594,1,1,0,1,0,5708,5625,187,360,1,0,0.25,Y,Y
LP002006,0,0,0,1,0,2507,0,56,360,1,1,0.428571,Y,Y
LP001955,0,0,0,1,0,5000,2541,151,480,1,1,-0.428571,Y,N
LP001448,0.813644,1,2,1,0,23803,0,370,360,1,1,-0.5,N,Y
LP002191,1,1,0,1,0,19730,5266,570,360,1,1,0.666667,N,N
LP002893,1,0,0,1,0,1836,33837,90,360,1,0,1,N,N
LP002237,1,0,1,1,0.140893,3667,0,113,180,1,0,0.714286,Y,Y
LP001743,1,1,2,1,0,4009,1717,116,360,1,0,0.714286,Y,Y
LP001940,1,1,2,1,0,3153,1560,134,360,1,0,0.714286,Y,Y
LP001256,1,0,0,1,0,3750,4750,176,360,1,0,1,N,N
LP001036,0,0,0,1,0,3510,0,76,360,0,0,0.869565,N,N
LP002160,1,1,2,1,0,5167,3167,200,360,1,0,0.714286,Y,Y
LP002603,0,0,0,1,0,645,3683,113,480,1,1,0.428571,Y,Y
LP002624,1,1,0,1,0,20833,6667,480,360,0.842199,0,0.25,Y,Y
LP002337,0,0,0,1,0,2995,0,60,360,1,0,0.714286,Y,Y
LP002305,0,0,0,1,0,4547,0,115,360,1,0,0.714286,Y,Y
LP001702,1,0,0,1,0,3418,0,127,360,1,0,-0.714286,Y,N
LP002588,1,1,0,1,0,4625,2857,111,12,0.842199,0,0.714286,Y,Y
LP002002,0,0,0,1,0,2917,0,84,360,1,0,0.714286,Y,Y
LP001647,1,1,0,1,0,9328,0,188,180,1,1,0.563636,Y,Y
LP002194,0,0,0,1,1,15759,0,55,360,1,0,0.714286,Y,Y
LP002201,1,1,2,1,1,9323,7873,380,300,1,1,-0.666667,N,Y
LP002106,1,1,0.677796,1,1,5503,4490,70,342,1,0,0.714286,Y,Y
LP001692,0,0,0,0,0,4408,0,120,360,1,0,0.714286,Y,Y
LP001243,1,1,0,1,0,3208,3066,172,360,1,0,0.714286,Y,Y
LP001003,1,1,1,1,0,4583,1508,128,360,1,1,-0.563636,Y,N
LP002941,1,1,2,0,1,6383,1000,187,360,1,1,-0.563636,Y,N
LP001325,1,0,0,0,0,3620,0,25,120,1,0,0.714286,Y,Y
LP002534,0,0,0,0,0,4350,0,154,360,1,1,0.428571,Y,Y
LP002487,1,1,0,1,0,3015,2188,153,360,1,1,0.563636,Y,Y
LP001807,1,1,2,1,1,6250,1300,108,360,1,1,0.563636,Y,Y
